Store,Dept,Date,forecast,lower_95,upper_95,method,ci_width_pct,forecast_raw,lower_95_raw,forecast_quartile
22,33,2012-11-02,7308.967858646703,5084.142568371472,10299.869700123298,SARIMAX,71.36065218266738,7308.967858646703,5084.142568371472,Q2
22,33,2012-11-09,5512.175014019577,3287.349723744346,9132.416343217585,SARIMAX,106.03920602315765,5512.175014019577,3287.349723744346,Q2
22,33,2012-11-16,5352.149487479811,3127.32419720458,8027.282551854795,SARIMAX,91.55122378611811,5352.149487479811,3127.32419720458,Q2
22,33,2012-11-23,10958.167791426964,8733.342501151732,14578.40912062497,SARIMAX,53.33981675336346,10958.167791426964,8733.342501151732,Q2
22,31,2012-11-02,3444.379946481678,2322.7651794309204,5536.370154151173,SARIMAX,93.29995600522658,3444.379946481678,2322.7651794309204,Q2
22,31,2012-11-09,2768.01754086233,1422.8514878780547,4828.528295772901,SARIMAX,123.03667724713424,2768.01754086233,1422.8514878780547,Q2
22,31,2012-11-16,2595.1862024584607,1473.5714354077031,4655.696957369031,SARIMAX,122.61646270109061,2595.1862024584607,1473.5714354077031,Q2
22,31,2012-11-23,3344.803972840845,2223.1892057900877,5436.794180510339,SARIMAX,96.07752803494903,3344.803972840845,2223.1892057900877,Q2
22,32,2012-11-02,5305.234918999977,3587.8123041287745,6772.954741690715,SARIMAX,60.037726626483334,5305.234918999977,3587.8123041287745,Q2
22,32,2012-11-09,5715.431043842546,3998.008428971344,8505.285625075998,SARIMAX,78.86154450171378,5715.431043842546,3998.008428971344,Q2
22,32,2012-11-16,5095.222949450454,3377.8003345792517,6562.942772141192,SARIMAX,62.51232711819754,5095.222949450454,3377.8003345792517,Q2
22,32,2012-11-23,7220.877837037204,5503.4552221660015,8630.575086944724,SARIMAX,43.30664408611308,7220.877837037204,5503.4552221660015,Q2
22,38,2012-11-02,67884.49602889988,50880.71558390839,87492.58478160443,SARIMAX,53.93259335991767,67884.49602889988,50880.71558390839,Q4_lớn
22,38,2012-11-09,89575.9436134887,72572.1631684972,107912.92850542112,SARIMAX,39.453411162952214,89575.9436134887,72572.1631684972,Q4_lớn
22,38,2012-11-16,80028.71223919542,63024.93179420392,98365.69713112785,SARIMAX,44.160107476545384,80028.71223919542,63024.93179420392,Q4_lớn
